,Cost,Benefit,Revenue,CaculateTime
Problem 0,0.18660000000000004,0.6184799999999998,0.4318799999999999,126.46
Problem 1,0.18544000000000008,0.6199199999999998,0.4344799999999999,117.86
Problem 2,0.19272000000000009,0.61592,0.4232,112.76
Problem 3,0.18276000000000003,0.6177599999999999,0.43499999999999983,107.78
Problem 4,0.18100000000000008,0.6175999999999998,0.43660000000000004,111.8
Problem 5,0.1863200000000001,0.6174399999999999,0.43111999999999995,113.34
Problem 6,0.18880000000000005,0.6159999999999999,0.4271999999999999,111.34
Problem 7,0.18664000000000006,0.6157599999999999,0.42911999999999995,112.92
Problem 8,0.18856000000000006,0.6139199999999998,0.42535999999999974,118.52
Problem 9,0.18688000000000005,0.61784,0.43095999999999984,121.16
Problem 10,0.18636000000000003,0.6172799999999998,0.43091999999999997,110.74
Problem 11,0.20316000000000012,0.6147199999999999,0.41155999999999987,113.86
Problem 12,0.1922000000000001,0.6192799999999999,0.42707999999999985,101.2
Problem 13,0.18960000000000007,0.61776,0.4281599999999999,106.96
Problem 14,0.1918400000000001,0.6178399999999997,0.42599999999999993,102.24
Problem 15,0.1947200000000001,0.6148799999999999,0.42016000000000003,108.1
Problem 16,0.19388000000000014,0.6134399999999998,0.41956000000000004,104.44
Problem 17,0.19760000000000005,0.6141599999999998,0.41656,105.82
Problem 18,0.1942400000000001,0.6145599999999998,0.4203199999999999,101.12
Problem 19,0.19720000000000013,0.6181599999999999,0.42095999999999995,86.96
Problem 20,0.19480000000000003,0.6167199999999997,0.42192000000000013,88.96
Problem 21,0.19052000000000008,0.6147999999999999,0.4242799999999999,84.94
Problem 22,0.19784000000000002,0.6156799999999999,0.4178399999999998,91.18
Problem 23,0.1860000000000001,0.62072,0.43471999999999994,83.56
Problem 24,0.19016000000000008,0.6147999999999999,0.4246399999999997,87.4
Problem 25,0.19032,0.61752,0.42720000000000014,84.28
Problem 26,0.19512000000000015,0.6143199999999999,0.41919999999999985,88.62
Problem 27,0.1966400000000001,0.6167199999999998,0.4200799999999999,90.02
Problem 28,0.19208000000000006,0.6135199999999997,0.4214399999999998,85.04
Problem 29,0.18928000000000011,0.6152799999999998,0.4259999999999998,87.62
AverageAnswer ,0.19097600000000006,0.6164266666666666,0.42545066666666664,102.23333333333333
